episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,100.0,17,9,5,3,29.0
1,200.0,37,13,21,3,29.0
1,300.0,50,14,34,2,29.071428571428573
1,400.0,66,19,44,3,29.0
1,500.0,81,22,57,2,29.272727272727273
1,600.0,94,27,63,4,28.333333333333332
1,700.0,115,32,79,4,28.125
1,800.0,121,37,83,1,28.7027027027027
1,900.0,138,46,88,4,29.152173913043477
1,1000.0,165,52,108,5,29.326923076923077
1,1100.0,183,60,120,3,29.333333333333332
1,1200.0,195,62,130,3,29.306451612903224
1,1300.0,206,65,140,1,29.353846153846153
1,1400.0,222,66,153,3,29.272727272727273
1,1500.0,233,68,161,4,29.308823529411764
1,1600.0,257,75,177,5,29.0
1,1700.0,268,79,187,2,29.31645569620253
1,1800.0,285,84,200,1,29.5
1,1900.0,297,87,208,2,29.528735632183906
1,2000.0,309,91,216,2,29.63736263736264
1,2100.0,330,94,231,5,29.77659574468085
1,2200.0,346,96,246,4,29.802083333333332
1,2300.0,365,100,264,1,29.62
1,2400.0,381,103,276,2,29.54368932038835
1,2500.0,403,104,293,6,29.576923076923077
1,2600.0,424,108,311,5,29.62962962962963
1,2700.0,435,112,321,2,29.821428571428573
1,2800.0,447,115,330,2,29.82608695652174
1,2900.0,463,115,344,4,29.82608695652174
1,3000.0,478,118,358,2,29.78813559322034
1,3100.0,490,122,368,0,29.80327868852459
1,3200.0,504,123,376,5,29.829268292682926
1,3300.0,523,127,392,4,29.787401574803148
1,3400.0,536,131,403,2,29.68702290076336
1,3500.0,545,136,407,2,29.551470588235293
1,3600.0,560,143,414,3,29.454545454545453
1,3700.0,586,151,432,3,29.456953642384107
1,3800.0,617,155,455,7,29.509677419354837
1,3900.0,634,158,470,6,29.639240506329113
1,4000.0,648,166,480,2,29.716867469879517
1,4100.0,664,172,489,3,29.662790697674417
1,4200.0,677,175,499,3,29.68
1,4300.0,694,180,511,3,29.616666666666667
1,4400.0,713,186,525,2,29.602150537634408
1,4500.0,728,191,533,4,29.680628272251308
1,4600.0,737,193,542,2,29.637305699481864
1,4700.0,761,197,555,9,29.609137055837564
1,4800.0,788,208,575,5,29.64903846153846
1,4900.0,814,212,596,6,29.712264150943398
1,5000.0,843,217,619,7,29.774193548387096
1,5100.0,868,225,639,4,29.822222222222223
1,5200.0,901,230,667,4,29.795652173913044
1,5300.0,919,235,681,3,29.851063829787233
1,5400.0,957,239,707,11,29.820083682008367
1,5500.0,978,247,727,4,29.951417004048583
1,5600.0,998,254,740,4,30.003937007874015
1,5700.0,1021,259,760,2,30.003861003861005
1,5800.0,1045,264,778,3,29.96212121212121
1,5900.0,1079,269,803,7,30.052044609665426
1,6000.0,1105,272,829,4,30.091911764705884
1,6100.0,1141,276,858,7,30.02536231884058
1,6200.0,1169,284,883,2,30.014084507042252
1,6300.0,1184,289,891,4,30.003460207612456
1,6400.0,1198,293,902,3,29.931740614334473
1,6500.0,1214,295,914,5,29.901694915254236
1,6600.0,1234,300,927,7,29.843333333333334
1,6700.0,1247,305,939,3,29.7344262295082
1,6800.0,1259,309,948,2,29.718446601941746
1,6900.0,1272,310,958,4,29.7
1,7000.0,1289,313,972,4,29.747603833865814
1,7100.0,1305,317,985,3,29.77602523659306
1,7200.0,1321,320,999,2,29.825
1,7300.0,1340,323,1016,1,29.795665634674922
1,7400.0,1356,327,1026,3,29.801223241590215
1,7500.0,1373,328,1044,1,29.804878048780488
1,7600.0,1389,332,1056,1,29.74397590361446
1,7700.0,1412,336,1069,7,29.738095238095237
1,7800.0,1432,339,1090,3,29.75811209439528
1,7900.0,1451,342,1105,4,29.780701754385966
1,8000.0,1468,347,1116,5,29.838616714697405
1,8100.0,1484,350,1130,4,29.86285714285714
1,8200.0,1504,354,1143,7,29.84180790960452
1,8300.0,1519,356,1159,4,29.84550561797753
1,8400.0,1530,358,1170,2,29.84078212290503
1,8500.0,1546,361,1182,3,29.85318559556787
1,8600.0,1561,363,1195,3,29.83746556473829
1,8700.0,1575,365,1206,4,29.84109589041096
1,8800.0,1590,371,1213,6,29.762803234501348
1,8900.0,1601,374,1223,4,29.74866310160428
1,9000.0,1621,378,1239,4,29.732804232804234
1,9100.0,1642,384,1253,5,29.6640625
1,9200.0,1663,393,1266,4,29.669211195928753
1,9300.0,1682,399,1279,4,29.649122807017545
1,9400.0,1698,406,1288,4,29.711822660098523
1,9500.0,1715,413,1300,2,29.72639225181598
1,9600.0,1731,416,1310,5,29.713942307692307
1,9700.0,1745,419,1320,6,29.670644391408114
1,9800.0,1765,425,1333,7,29.647058823529413
1,9900.0,1782,430,1348,4,29.61627906976744
1,10000.0,1795,434,1357,4,29.608294930875577
1,10100.0,1809,438,1370,1,29.62785388127854
1,10200.0,1837,444,1389,4,29.673423423423422
1,10300.0,1856,447,1405,4,29.662192393736017
1,10400.0,1876,452,1421,3,29.654867256637168
1,10500.0,1896,454,1439,3,29.665198237885463
1,10600.0,1910,458,1446,6,29.694323144104803
1,10700.0,1934,462,1467,5,29.675324675324674
1,10800.0,1953,465,1483,5,29.668817204301074
1,10900.0,1996,469,1521,6,29.62686567164179
1,11000.0,2023,476,1538,9,29.615546218487395
1,11100.0,2042,481,1560,1,29.632016632016633
1,11200.0,2064,484,1576,4,29.623966942148762
1,11300.0,2085,490,1588,7,29.614285714285714
1,11400.0,2107,497,1607,3,29.62977867203219
1,11500.0,2126,502,1622,2,29.6195219123506
1,11600.0,2137,505,1628,4,29.598019801980197
1,11700.0,2155,508,1645,2,29.596456692913385
1,11800.0,2176,512,1659,5,29.599609375
1,11900.0,2198,516,1679,3,29.58139534883721
1,12000.0,2215,520,1692,3,29.573076923076922
1,12100.0,2234,527,1703,4,29.561669829222012
1,12200.0,2257,530,1719,8,29.58490566037736
1,12300.0,2279,534,1739,6,29.59737827715356
1,12400.0,2297,540,1755,2,29.575925925925926
1,12500.0,2320,546,1770,4,29.573260073260073
1,12600.0,2341,547,1791,3,29.586837294332724
1,12700.0,2378,552,1820,6,29.583333333333332
1,12800.0,2397,554,1841,2,29.588447653429604
1,12900.0,2429,557,1870,2,29.621184919210055
1,13000.0,2456,563,1888,5,29.653641207815276
1,13100.0,2482,573,1903,6,29.719022687609076
1,13200.0,2503,576,1922,5,29.744791666666668
1,13300.0,2526,581,1939,6,29.76075731497418
1,13400.0,2544,586,1956,2,29.81740614334471
1,13500.0,2568,591,1972,5,29.83248730964467
1,13600.0,2590,595,1993,2,29.860504201680673
1,13700.0,2620,598,2012,10,29.881270903010034
1,13800.0,2652,605,2039,8,29.953719008264464
1,13900.0,2677,612,2060,5,29.952614379084967
1,14000.0,2707,618,2085,4,29.954692556634303
1,14100.0,2734,620,2107,7,29.948387096774194
1,14200.0,2751,629,2118,4,29.917329093799683
1,14300.0,2779,635,2139,5,29.891338582677164
1,14400.0,2802,640,2160,2,29.88125
1,14500.0,2821,643,2174,4,29.88646967340591
1,14600.0,2838,646,2190,2,29.91950464396285
1,14700.0,2860,650,2203,7,29.95230769230769
1,14800.0,2872,655,2215,2,29.957251908396948
1,14900.0,2883,660,2221,2,29.954545454545453
1,15000.0,2904,667,2235,2,29.94302848575712
1,15100.0,2939,670,2260,9,29.901492537313434
1,15200.0,2959,674,2279,6,29.903560830860535
1,15300.0,2973,677,2293,3,29.92023633677991
1,15400.0,3003,685,2311,7,29.972262773722626
1,15500.0,3017,690,2324,3,29.997101449275362
1,15600.0,3025,692,2331,2,30.014450867052023
1,15700.0,3044,699,2342,3,30.00429184549356
1,15800.0,3061,702,2357,2,30.011396011396013
1,15900.0,3079,706,2370,3,30.007082152974505
1,16000.0,3106,715,2386,5,29.984615384615385
1,16100.0,3134,718,2409,7,29.991643454038996
1,16200.0,3162,723,2437,2,30.0
1,16300.0,3183,730,2450,3,30.005479452054793
1,16400.0,3203,735,2464,4,30.02312925170068
1,16500.0,3229,743,2485,1,30.039030955585464
1,16600.0,3248,745,2497,6,30.026845637583893
1,16700.0,3267,747,2516,4,30.029451137884873
1,16800.0,3299,751,2541,7,30.014647137150465
1,16900.0,3326,754,2567,5,30.03050397877984
1,17000.0,3346,761,2578,7,30.038107752956638
1,17100.0,3371,765,2599,7,30.02875816993464
1,17200.0,3402,770,2628,4,30.027272727272727
1,17300.0,3423,778,2639,6,30.02827763496144
1,17400.0,3447,785,2658,4,30.039490445859872
1,17500.0,3477,792,2681,4,30.03030303030303
1,17600.0,3499,793,2702,4,30.025220680958387
1,17700.0,3521,801,2716,4,30.021223470661674
1,17800.0,3549,808,2738,3,30.021039603960396
1,17900.0,3580,816,2758,6,30.0
1,18000.0,3595,820,2772,3,30.01341463414634
1,18100.0,3614,825,2785,4,29.995151515151516
1,18200.0,3651,835,2811,5,30.021556886227543
1,18300.0,3677,842,2829,6,30.024940617577197
1,18400.0,3701,848,2847,6,30.015330188679247
1,18500.0,3722,854,2865,3,30.01288056206089
1,18600.0,3756,861,2889,6,30.016260162601625
1,18700.0,3783,866,2912,5,30.006928406466514
1,18800.0,3816,872,2939,5,29.98165137614679
1,18900.0,3839,876,2961,2,29.97374429223744
1,19000.0,3860,879,2977,4,29.96018202502844
1,19100.0,3883,883,2992,8,29.93771234428086
1,19200.0,3914,890,3020,4,29.93932584269663
1,19300.0,3935,896,3035,4,29.953125
1,19400.0,3964,903,3054,7,29.94573643410853
1,19500.0,3995,908,3081,6,29.94713656387665
1,19600.0,4024,914,3108,2,29.95951859956236
1,19700.0,4053,921,3128,4,29.959826275787186
1,19800.0,4079,926,3151,2,29.97084233261339
1,19900.0,4104,931,3170,3,29.981740064446832
1,20000.0,4132,938,3188,6,29.99680170575693
