episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,11300.0,6096,726,5364,6,30.56611570247934
1,11400.0,6142,734,5402,6,30.53814713896458
1,11500.0,6214,741,5460,13,30.558704453441294
1,11600.0,6271,748,5514,9,30.573529411764707
1,11700.0,6327,757,5564,6,30.56010568031704
1,11800.0,6395,764,5626,5,30.532722513089006
1,11900.0,6448,768,5673,7,30.526041666666668
1,12000.0,6501,775,5717,9,30.553548387096775
1,12100.0,6558,779,5770,9,30.52759948652118
1,12200.0,6628,789,5829,10,30.53485424588086
1,12300.0,6689,796,5887,6,30.5464824120603
1,12400.0,6740,803,5934,3,30.51805728518057
1,12500.0,6810,807,5996,7,30.503097893432464
1,12600.0,6868,814,6044,10,30.48280098280098
1,12700.0,6927,824,6095,8,30.54490291262136
1,12800.0,6991,830,6153,8,30.545783132530122
1,12900.0,7065,837,6221,7,30.58183990442055
1,13000.0,7132,840,6284,8,30.59404761904762
1,13100.0,7184,845,6330,9,30.577514792899407
1,13200.0,7262,853,6403,6,30.572098475967174
1,13300.0,7321,860,6451,10,30.590697674418603
1,13400.0,7369,867,6495,7,30.575547866205305
1,13500.0,7410,873,6533,4,30.557846506300116
1,13600.0,7450,877,6562,11,30.561003420752566
1,13700.0,7484,887,6595,2,30.52987598647125
1,13800.0,7520,889,6622,9,30.5421822272216
1,13900.0,7567,895,6668,4,30.528491620111733
1,14000.0,7603,900,6698,5,30.534444444444443
1,14100.0,7641,908,6729,4,30.53964757709251
1,14200.0,7690,913,6768,9,30.521358159912378
1,14300.0,7732,921,6803,8,30.53528773072747
1,14400.0,7793,924,6860,9,30.524891774891774
1,14500.0,7853,930,6918,5,30.532258064516128
1,14600.0,7912,933,6973,6,30.525187566988212
1,14700.0,7972,939,7024,9,30.570820021299255
1,14800.0,8029,946,7075,8,30.560253699788582
1,14900.0,8095,953,7126,16,30.583420776495277
1,15000.0,8151,968,7173,10,30.584710743801654
1,15100.0,8226,972,7240,14,30.564814814814813
1,15200.0,8294,984,7300,10,30.57520325203252
1,15300.0,8371,990,7375,6,30.606060606060606
1,15400.0,8429,994,7430,5,30.612676056338028
1,15500.0,8493,998,7484,11,30.627254509018037
1,15600.0,8557,1003,7542,12,30.64606181455633
1,15700.0,8624,1008,7611,5,30.651785714285715
1,15800.0,8683,1012,7664,7,30.65316205533597
1,15900.0,8740,1022,7713,5,30.65655577299413
1,16000.0,8810,1030,7771,9,30.654368932038835
1,16100.0,8866,1036,7821,9,30.63996138996139
1,16200.0,8928,1042,7881,5,30.647792706333973
1,16300.0,9004,1050,7945,9,30.654285714285713
1,16400.0,9069,1057,8001,11,30.678334910122988
1,16500.0,9130,1063,8054,13,30.68579492003763
1,16600.0,9204,1069,8125,10,30.690364826941067
1,16700.0,9271,1075,8189,7,30.706976744186047
1,16800.0,9336,1082,8243,11,30.74029574861368
1,16900.0,9394,1090,8298,6,30.757798165137615
1,17000.0,9451,1096,8346,9,30.735401459854014
1,17100.0,9510,1103,8400,7,30.70897552130553
1,17200.0,9579,1111,8461,7,30.684968496849685
1,17300.0,9633,1115,8508,10,30.672645739910315
1,17400.0,9708,1120,8575,13,30.68125
1,17500.0,9764,1126,8628,10,30.69094138543517
1,17600.0,9822,1133,8682,7,30.698146513680495
1,17700.0,9886,1140,8738,8,30.67719298245614
1,17800.0,9960,1150,8798,12,30.69304347826087
1,17900.0,10024,1156,8857,11,30.70674740484429
1,18000.0,10087,1162,8913,12,30.70567986230637
1,18100.0,10137,1169,8963,5,30.71086398631309
1,18200.0,10199,1173,9018,8,30.69309462915601
1,18300.0,10253,1177,9070,6,30.696686491079014
1,18400.0,10321,1180,9134,7,30.70508474576271
1,18500.0,10386,1187,9188,11,30.709351305812973
1,18600.0,10440,1194,9236,10,30.717755443886098
1,18700.0,10510,1198,9304,8,30.72954924874791
1,18800.0,10563,1205,9353,5,30.72780082987552
1,18900.0,10632,1208,9413,11,30.723509933774835
1,19000.0,10683,1210,9467,6,30.731404958677686
1,19100.0,10734,1214,9510,10,30.7495881383855
1,19200.0,10802,1217,9578,7,30.73952341824158
1,19300.0,10854,1222,9625,7,30.727495908346974
1,19400.0,10919,1231,9671,17,30.717303005686436
1,19500.0,10967,1239,9720,8,30.71509281678773
1,19600.0,11031,1244,9777,10,30.715434083601288
1,19700.0,11107,1251,9846,10,30.722621902478018
1,19800.0,11181,1258,9914,9,30.71939586645469
1,19900.0,11237,1264,9962,11,30.71518987341772
1,20000.0,11310,1270,10032,8,30.719685039370077
