episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,100.0,32,14,14,4,26.5
1,200.0,61,19,35,7,26.105263157894736
1,300.0,96,24,67,5,26.916666666666668
1,400.0,133,30,94,9,27.3
1,500.0,170,35,131,4,27.97142857142857
1,600.0,201,41,155,5,28.658536585365855
1,700.0,229,44,181,4,28.613636363636363
1,800.0,258,49,203,6,28.183673469387756
1,900.0,300,55,239,6,28.381818181818183
1,1000.0,332,62,267,3,28.548387096774192
1,1100.0,374,64,299,11,28.78125
1,1200.0,409,70,333,6,28.814285714285713
1,1300.0,431,76,351,4,29.013157894736842
1,1400.0,477,86,388,3,28.709302325581394
1,1500.0,512,87,417,8,28.701149425287355
1,1600.0,545,90,452,3,28.72222222222222
1,1700.0,577,94,476,7,28.70212765957447
1,1800.0,628,99,523,6,28.717171717171716
1,1900.0,674,107,559,8,28.757009345794394
1,2000.0,713,114,593,6,28.894736842105264
1,2100.0,771,123,639,9,28.926829268292682
1,2200.0,800,130,667,3,29.146153846153847
1,2300.0,830,133,691,6,29.203007518796994
1,2400.0,865,135,727,3,29.133333333333333
1,2500.0,892,138,748,6,29.057971014492754
1,2600.0,937,147,785,5,29.299319727891156
1,2700.0,971,151,816,4,29.28476821192053
1,2800.0,1003,155,844,4,29.238709677419354
1,2900.0,1042,159,878,5,29.364779874213838
1,3000.0,1086,162,920,4,29.28395061728395
1,3100.0,1126,168,955,3,29.386904761904763
1,3200.0,1158,171,980,7,29.49122807017544
1,3300.0,1192,178,1009,5,29.56179775280899
1,3400.0,1229,181,1044,4,29.58011049723757
1,3500.0,1263,187,1069,7,29.663101604278076
1,3600.0,1295,195,1096,4,29.635897435897437
1,3700.0,1330,201,1124,5,29.65671641791045
1,3800.0,1371,209,1157,5,29.74641148325359
1,3900.0,1400,214,1180,6,29.766355140186917
1,4000.0,1425,222,1199,4,29.78828828828829
1,4100.0,1461,229,1225,7,29.759825327510917
1,4200.0,1498,239,1253,6,29.832635983263597
1,4300.0,1527,244,1280,3,29.848360655737704
1,4400.0,1558,251,1303,4,29.888446215139442
1,4500.0,1595,254,1334,7,29.84251968503937
1,4600.0,1632,261,1365,6,29.842911877394634
1,4700.0,1659,268,1385,6,29.79850746268657
1,4800.0,1695,275,1414,6,29.687272727272727
1,4900.0,1728,282,1443,3,29.666666666666668
1,5000.0,1762,286,1474,2,29.59090909090909
1,5100.0,1803,289,1507,7,29.643598615916954
1,5200.0,1841,295,1537,9,29.698305084745762
1,5300.0,1902,300,1594,8,29.65
1,5400.0,1953,304,1641,8,29.67105263157895
1,5500.0,2002,309,1686,7,29.650485436893202
1,5600.0,2041,312,1723,6,29.67628205128205
1,5700.0,2074,319,1746,9,29.61128526645768
1,5800.0,2098,322,1770,6,29.562111801242235
1,5900.0,2131,326,1799,6,29.573619631901842
1,6000.0,2160,331,1822,7,29.555891238670696
1,6100.0,2195,339,1853,3,29.575221238938052
1,6200.0,2224,342,1875,7,29.53216374269006
1,6300.0,2256,347,1901,8,29.62536023054755
1,6400.0,2294,356,1930,8,29.56741573033708
1,6500.0,2332,364,1963,5,29.576923076923077
1,6600.0,2372,369,1997,6,29.54742547425474
1,6700.0,2410,375,2029,6,29.576
1,6800.0,2436,381,2049,6,29.595800524934383
1,6900.0,2466,388,2075,3,29.587628865979383
1,7000.0,2505,390,2111,4,29.576923076923077
1,7100.0,2543,396,2144,3,29.613636363636363
1,7200.0,2575,401,2169,5,29.59351620947631
1,7300.0,2613,406,2203,4,29.571428571428573
1,7400.0,2644,410,2229,5,29.565853658536586
1,7500.0,2677,414,2258,5,29.56280193236715
1,7600.0,2705,420,2280,5,29.53095238095238
1,7700.0,2746,426,2314,6,29.525821596244132
1,7800.0,2771,431,2338,2,29.556844547563806
1,7900.0,2808,435,2369,4,29.55632183908046
1,8000.0,2848,441,2403,4,29.5124716553288
1,8100.0,2876,445,2426,5,29.51685393258427
1,8200.0,2904,452,2450,2,29.561946902654867
1,8300.0,2941,460,2478,3,29.56304347826087
1,8400.0,2981,464,2508,9,29.551724137931036
1,8500.0,3009,470,2536,3,29.58936170212766
1,8600.0,3051,477,2566,8,29.639412997903563
1,8700.0,3085,489,2589,7,29.660531697341515
1,8800.0,3112,497,2608,7,29.69215291750503
1,8900.0,3151,503,2642,6,29.669980119284293
1,9000.0,3192,505,2679,8,29.673267326732674
1,9100.0,3229,511,2713,5,29.632093933463796
1,9200.0,3274,516,2752,6,29.655038759689923
1,9300.0,3324,525,2790,9,29.695238095238096
1,9400.0,3378,532,2839,7,29.68609022556391
1,9500.0,3433,538,2886,9,29.71189591078067
1,9600.0,3489,544,2940,5,29.71875
1,9700.0,3542,548,2982,12,29.722627737226276
1,9800.0,3585,556,3021,8,29.753597122302157
1,9900.0,3638,561,3071,6,29.771836007130126
1,10000.0,3681,569,3110,2,29.75395430579965
1,10100.0,3736,574,3154,8,29.770034843205575
1,10200.0,3788,578,3204,6,29.79930795847751
1,10300.0,3851,587,3258,6,29.841567291311755
1,10400.0,3907,593,3301,13,29.854974704890388
1,10500.0,3959,598,3354,7,29.901337792642142
1,10600.0,4016,604,3407,5,29.910596026490065
1,10700.0,4060,607,3447,6,29.942339373970345
1,10800.0,4099,614,3478,7,29.957654723127035
1,10900.0,4151,617,3526,8,29.946515397082656
1,11000.0,4194,623,3567,4,29.96629213483146
1,11100.0,4235,631,3600,4,29.98890649762282
1,11200.0,4283,637,3639,7,30.01883830455259
1,11300.0,4330,645,3675,10,30.03875968992248
1,11400.0,4367,648,3716,3,30.060185185185187
1,11500.0,4403,653,3743,7,30.07044410413476
1,11600.0,4456,658,3790,8,30.045592705167174
1,11700.0,4502,664,3828,10,30.01656626506024
1,11800.0,4549,667,3872,10,30.035982008995504
1,11900.0,4592,672,3914,6,30.058035714285715
1,12000.0,4637,680,3945,12,30.058823529411764
1,12100.0,4687,687,3991,9,30.05240174672489
1,12200.0,4737,696,4036,5,30.021551724137932
1,12300.0,4785,698,4078,9,30.005730659025787
1,12400.0,4811,704,4098,9,29.990056818181817
1,12500.0,4843,713,4126,4,29.984572230014024
1,12600.0,4869,716,4150,3,29.96927374301676
1,12700.0,4903,724,4177,2,29.975138121546962
1,12800.0,4939,728,4206,5,29.956043956043956
1,12900.0,4974,734,4234,6,29.989100817438693
1,13000.0,5013,737,4270,6,30.00271370420624
1,13100.0,5046,741,4300,5,29.994601889338732
1,13200.0,5085,748,4332,5,29.97860962566845
1,13300.0,5120,753,4360,7,29.98539176626826
1,13400.0,5155,761,4388,6,29.984231274638635
1,13500.0,5180,766,4409,5,30.003916449086162
1,13600.0,5205,774,4428,3,30.006459948320412
1,13700.0,5243,777,4460,6,30.01673101673102
1,13800.0,5270,780,4488,2,29.983333333333334
1,13900.0,5303,786,4511,6,29.994910941475826
1,14000.0,5340,795,4538,7,29.9874213836478
1,14100.0,5374,803,4566,5,30.0
1,14200.0,5410,809,4596,5,29.993819530284302
1,14300.0,5446,815,4625,6,29.979141104294477
1,14400.0,5481,824,4652,5,29.975728155339805
1,14500.0,5510,828,4678,4,29.9987922705314
1,14600.0,5539,834,4700,5,30.0
1,14700.0,5570,841,4723,6,29.99524375743163
1,14800.0,5601,846,4751,4,29.994089834515368
1,14900.0,5644,849,4789,6,29.985865724381625
1,15000.0,5680,853,4823,4,29.97772567409144
1,15100.0,5731,857,4865,9,29.995332555425904
1,15200.0,5773,860,4903,10,30.022093023255813
1,15300.0,5802,864,4931,7,30.01273148148148
1,15400.0,5840,869,4962,9,30.03222094361335
1,15500.0,5873,877,4991,5,30.069555302166478
1,15600.0,5907,882,5022,3,30.046485260770975
1,15700.0,5941,886,5047,8,30.033860045146728
1,15800.0,5970,892,5075,3,30.031390134529147
1,15900.0,6018,900,5115,3,30.026666666666667
1,16000.0,6048,905,5140,3,30.065193370165744
1,16100.0,6088,910,5173,5,30.051648351648353
1,16200.0,6132,915,5209,8,30.046994535519126
1,16300.0,6178,927,5246,5,30.07982740021575
1,16400.0,6221,933,5283,5,30.09753483386924
1,16500.0,6277,936,5326,15,30.11111111111111
1,16600.0,6331,943,5383,5,30.12831389183457
1,16700.0,6384,951,5427,6,30.150368033648792
1,16800.0,6438,955,5478,5,30.16649214659686
1,16900.0,6488,960,5521,7,30.210416666666667
1,17000.0,6535,965,5566,4,30.247668393782384
1,17100.0,6582,972,5607,3,30.227366255144034
1,17200.0,6633,979,5645,9,30.21859039836568
1,17300.0,6679,986,5682,11,30.227180527383368
1,17400.0,6720,992,5718,10,30.231854838709676
1,17500.0,6771,998,5763,10,30.230460921843687
1,17600.0,6795,1003,5789,3,30.241276171485545
1,17700.0,6845,1011,5828,6,30.212660731948567
1,17800.0,6897,1019,5871,7,30.200196270853777
1,17900.0,6967,1027,5926,14,30.180136319376825
1,18000.0,7019,1032,5979,8,30.20736434108527
1,18100.0,7077,1035,6033,9,30.18743961352657
1,18200.0,7126,1041,6078,7,30.195965417867434
1,18300.0,7167,1051,6110,6,30.201712654614653
1,18400.0,7232,1058,6162,12,30.18241965973535
1,18500.0,7281,1064,6211,6,30.18421052631579
1,18600.0,7336,1071,6255,10,30.206349206349206
1,18700.0,7394,1079,6306,9,30.23262279888786
1,18800.0,7446,1086,6349,11,30.22744014732965
1,18900.0,7491,1094,6392,5,30.182815356489947
1,19000.0,7530,1101,6423,6,30.200726612170754
1,19100.0,7576,1105,6461,10,30.189140271493212
1,19200.0,7643,1112,6524,7,30.16456834532374
1,19300.0,7699,1116,6573,10,30.183691756272403
1,19400.0,7753,1122,6622,9,30.180035650623886
1,19500.0,7804,1130,6667,7,30.207964601769913
1,19600.0,7862,1137,6717,8,30.209322779243625
1,19700.0,7920,1144,6768,8,30.210664335664337
1,19800.0,7967,1151,6810,6,30.21459600347524
1,19900.0,8015,1158,6848,9,30.22452504317789
1,20000.0,8058,1166,6888,4,30.224699828473412
