episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,100.0,23,12,8,3,28.5
1,200.0,36,16,16,4,29.0625
1,300.0,51,23,26,2,30.08695652173913
1,400.0,74,28,42,4,30.464285714285715
1,500.0,97,34,57,6,30.735294117647058
1,600.0,116,37,75,4,30.513513513513512
1,700.0,132,41,88,3,30.0
1,800.0,149,44,103,2,29.954545454545453
1,900.0,159,47,110,2,30.04255319148936
1,1000.0,170,50,117,3,29.9
1,1100.0,184,52,127,5,29.807692307692307
1,1200.0,204,58,138,8,30.43103448275862
1,1300.0,227,66,157,4,30.757575757575758
1,1400.0,243,70,170,3,30.728571428571428
1,1500.0,253,71,179,3,30.676056338028168
1,1600.0,265,73,190,2,30.54794520547945
1,1700.0,283,76,207,0,30.486842105263158
1,1800.0,298,79,215,4,30.518987341772153
1,1900.0,322,83,235,4,30.55421686746988
1,2000.0,339,84,251,4,30.55952380952381
1,2100.0,351,87,260,4,30.586206896551722
1,2200.0,366,91,269,6,30.747252747252748
1,2300.0,384,96,284,4,31.020833333333332
1,2400.0,397,99,294,4,30.8989898989899
1,2500.0,424,103,314,7,30.766990291262136
1,2600.0,445,109,332,4,30.71559633027523
1,2700.0,460,113,345,2,30.858407079646017
1,2800.0,483,119,359,5,31.016806722689076
1,2900.0,508,123,380,5,31.016260162601625
1,3000.0,525,130,392,3,31.084615384615386
1,3100.0,541,135,404,2,30.977777777777778
1,3200.0,554,141,411,2,30.74468085106383
1,3300.0,570,148,421,1,30.743243243243242
1,3400.0,581,149,431,1,30.751677852348994
1,3500.0,608,152,450,6,30.75657894736842
1,3600.0,621,158,460,3,30.810126582278482
1,3700.0,635,160,472,3,30.86875
1,3800.0,656,163,490,3,30.87730061349693
1,3900.0,683,168,510,5,30.785714285714285
1,4000.0,710,172,532,6,30.901162790697676
1,4100.0,731,178,551,2,30.825842696629213
1,4200.0,764,182,578,4,30.78021978021978
1,4300.0,803,185,612,6,30.686486486486487
1,4400.0,844,192,644,8,30.734375
1,4500.0,866,196,667,3,30.816326530612244
1,4600.0,891,199,687,5,30.87437185929648
1,4700.0,915,203,707,5,30.852216748768473
1,4800.0,947,208,735,4,30.85576923076923
1,4900.0,966,213,752,1,30.826291079812208
1,5000.0,986,214,768,4,30.80841121495327
1,5100.0,1010,219,785,6,30.76255707762557
1,5200.0,1038,223,811,4,30.83408071748879
1,5300.0,1050,227,821,2,30.82819383259912
1,5400.0,1070,233,834,3,30.759656652360515
1,5500.0,1088,236,851,1,30.766949152542374
1,5600.0,1111,242,867,2,30.723140495867767
1,5700.0,1130,250,876,4,30.708
1,5800.0,1151,254,895,2,30.618110236220474
1,5900.0,1165,256,906,3,30.58203125
1,6000.0,1182,260,918,4,30.6
1,6100.0,1202,265,931,6,30.49811320754717
1,6200.0,1225,268,953,4,30.544776119402986
1,6300.0,1251,271,973,7,30.58671586715867
1,6400.0,1281,276,998,7,30.634057971014492
1,6500.0,1313,282,1028,3,30.663120567375888
1,6600.0,1339,285,1049,5,30.659649122807018
1,6700.0,1352,289,1061,2,30.62629757785467
1,6800.0,1379,293,1081,5,30.604095563139932
1,6900.0,1409,298,1105,6,30.697986577181208
1,7000.0,1435,302,1129,4,30.692052980132452
1,7100.0,1459,304,1151,4,30.700657894736842
1,7200.0,1482,308,1169,5,30.646103896103895
1,7300.0,1502,312,1187,3,30.647435897435898
1,7400.0,1533,316,1213,4,30.575949367088608
1,7500.0,1555,323,1228,4,30.56656346749226
1,7600.0,1568,326,1238,4,30.558282208588956
1,7700.0,1582,329,1249,4,30.58966565349544
1,7800.0,1596,332,1259,5,30.60843373493976
1,7900.0,1616,335,1275,6,30.582089552238806
1,8000.0,1642,337,1298,7,30.584569732937684
1,8100.0,1671,339,1328,4,30.5811209439528
1,8200.0,1693,343,1348,2,30.606413994169095
1,8300.0,1722,345,1373,4,30.608695652173914
1,8400.0,1744,352,1388,4,30.613636363636363
1,8500.0,1770,356,1409,5,30.623595505617978
1,8600.0,1783,362,1418,3,30.65745856353591
1,8700.0,1806,365,1437,4,30.673972602739727
1,8800.0,1819,367,1448,4,30.667574931880107
1,8900.0,1844,373,1465,6,30.6514745308311
1,9000.0,1870,380,1485,5,30.621052631578948
1,9100.0,1890,384,1501,5,30.625
1,9200.0,1915,390,1522,3,30.623076923076923
1,9300.0,1933,396,1535,2,30.67676767676768
1,9400.0,1957,405,1548,4,30.659259259259258
1,9500.0,1987,410,1571,6,30.63170731707317
1,9600.0,2007,418,1584,5,30.705741626794257
1,9700.0,2034,425,1605,4,30.663529411764706
1,9800.0,2056,428,1625,3,30.635514018691588
1,9900.0,2078,432,1640,6,30.61574074074074
1,10000.0,2107,440,1662,5,30.570454545454545
1,10100.0,2140,444,1689,7,30.56981981981982
1,10200.0,2167,448,1713,6,30.569196428571427
1,10300.0,2190,452,1732,6,30.539823008849556
1,10400.0,2215,457,1753,5,30.516411378555798
1,10500.0,2239,463,1772,4,30.518358531317496
1,10600.0,2249,468,1781,0,30.51923076923077
1,10700.0,2261,469,1789,3,30.51172707889126
1,10800.0,2277,473,1802,2,30.496828752642706
1,10900.0,2297,475,1819,3,30.498947368421053
1,11000.0,2314,481,1831,2,30.484407484407484
1,11100.0,2333,485,1844,4,30.445360824742266
1,11200.0,2344,492,1850,2,30.426829268292682
1,11300.0,2355,495,1858,2,30.4
1,11400.0,2375,500,1872,3,30.372
1,11500.0,2394,501,1888,5,30.369261477045907
1,11600.0,2415,505,1907,3,30.372277227722773
1,11700.0,2435,512,1918,5,30.375
1,11800.0,2451,515,1932,4,30.355339805825242
1,11900.0,2470,519,1947,4,30.358381502890172
1,12000.0,2485,525,1955,5,30.29904761904762
1,12100.0,2501,526,1973,2,30.309885931558934
1,12200.0,2522,529,1988,5,30.328922495274103
1,12300.0,2550,531,2014,5,30.329566854990585
1,12400.0,2571,541,2026,4,30.401109057301294
1,12500.0,2602,550,2047,5,30.392727272727274
1,12600.0,2622,554,2066,2,30.418772563176894
1,12700.0,2648,559,2083,6,30.422182468694096
1,12800.0,2666,564,2095,7,30.411347517730498
1,12900.0,2690,574,2110,6,30.414634146341463
1,13000.0,2720,584,2132,4,30.436643835616437
1,13100.0,2760,590,2163,7,30.428813559322034
1,13200.0,2783,593,2184,6,30.435075885328835
1,13300.0,2810,597,2207,6,30.42043551088777
1,13400.0,2836,602,2228,6,30.408637873754152
1,13500.0,2856,610,2243,3,30.41639344262295
1,13600.0,2881,613,2263,5,30.4094616639478
1,13700.0,2901,617,2279,5,30.419773095623988
1,13800.0,2926,621,2299,6,30.426731078904993
1,13900.0,2952,624,2324,4,30.42628205128205
1,14000.0,2984,630,2349,5,30.436507936507937
1,14100.0,3008,633,2371,4,30.46919431279621
1,14200.0,3030,637,2391,2,30.459968602825747
1,14300.0,3053,643,2407,3,30.468118195956453
1,14400.0,3079,649,2425,5,30.423728813559322
1,14500.0,3095,652,2440,3,30.421779141104295
1,14600.0,3115,656,2455,4,30.410060975609756
1,14700.0,3141,659,2478,4,30.393019726858878
1,14800.0,3165,663,2497,5,30.404223227752638
1,14900.0,3185,666,2517,2,30.412912912912912
1,15000.0,3211,668,2541,2,30.41616766467066
1,15100.0,3243,675,2561,7,30.444444444444443
1,15200.0,3267,679,2582,6,30.40942562592047
1,15300.0,3290,683,2604,3,30.45827232796486
1,15400.0,3317,689,2624,4,30.477503628447025
1,15500.0,3339,694,2641,4,30.435158501440924
1,15600.0,3368,701,2660,7,30.45506419400856
1,15700.0,3387,709,2675,3,30.45275035260931
1,15800.0,3405,715,2689,1,30.44895104895105
1,15900.0,3430,717,2704,9,30.463040446304046
1,16000.0,3458,721,2731,6,30.466019417475728
1,16100.0,3485,727,2756,2,30.436038514442917
1,16200.0,3505,730,2770,5,30.41780821917808
1,16300.0,3528,734,2788,6,30.434604904632153
1,16400.0,3554,741,2808,5,30.430499325236166
1,16500.0,3586,748,2830,8,30.42914438502674
1,16600.0,3616,752,2860,4,30.44148936170213
1,16700.0,3645,761,2880,4,30.45203679369251
1,16800.0,3677,769,2900,8,30.49934980494148
1,16900.0,3703,772,2921,10,30.479274611398964
1,17000.0,3739,778,2956,5,30.475578406169667
1,17100.0,3760,784,2974,2,30.477040816326532
1,17200.0,3784,787,2990,7,30.47395171537484
1,17300.0,3811,791,3015,5,30.443742098609356
1,17400.0,3845,797,3041,7,30.44792973651192
1,17500.0,3872,805,3064,3,30.419875776397514
1,17600.0,3890,810,3077,3,30.390123456790125
1,17700.0,3913,812,3097,4,30.386699507389164
